source_file,muscle,channel,amp_ma,latency_ms,electrode,mode
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,30,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,35,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,40,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,45,,1,monophasic
Burst_autosave_20260717_150152_655ms,Deltoid med. (L),L_DELmed,50,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,30,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,35,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,40,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,45,,1,monophasic
Burst_autosave_20260717_150152_655ms,Biceps (L),L_BB,50,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (L),L_TBlg,10,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (L),L_TBlg,15,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (L),L_TBlg,20,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (L),L_TBlg,25,,1,monophasic
Burst_autosave_20260717_150152_655ms,Triceps long (L),L_TBlg,30,,1,monophasic
